Phoneme	Rank	Ni	Nt	C	R	AverageFirstObservationPercent	FirstObservationSD
ɮ	182	1	1	1.000	183	24.2857	0.0
fʷ	183	2	0	0.000	214	100.0000	0.0
æː	184	6	3	0.500	143	14.0600	19.9979
ɥ	185	2	2	1.000	132	15.0848	0.0
dʲ	186	5	3	0.600	141	29.5322	7.6078
ʕ	187	4	2	0.500	103	18.7107	0.0
a̟	188	0	0	0.000	215	100.0000	0.0
jː	189	12	2	0.167	160	52.0968	0.0
pʷ	190	2	1	0.500	184	33.5088	0.0
χʷ	191	5	2	0.400	173	50.8257	0.0
ɐ	192	19	18	0.947	25	1.0450	4.2844
ɹ	193	15	13	0.867	46	9.8004	12.5785
ŋk	194	3	3	1.000	152	62.4820	49.8686
d̪z̪	195	1	1	1.000	163	3.6675	0.0
ɖ̤	196	0	0	0.000	216	100.0000	0.0
d̪̤	197	0	0	0.000	217	100.0000	0.0
ɒ	198	9	6	0.667	68	10.1383	4.7066
ʐ	199	7	3	0.429	126	11.2952	19.1313
ɻ	200	6	6	1.000	84	12.0865	27.0048
nt	201	3	3	1.000	149	32.8494	15.2346
rː	202	7	1	0.143	174	63.3822	0.0
ɘ	203	3	3	1.000	53	0.9252	0.5586
kʷʰ	205	3	0	0.000	218	100.0000	0.0
bʲ	206	4	3	0.750	137	23.2925	25.0224
pf	207	3	0	0.000	219	100.0000	0.0
dː	209	11	5	0.455	134	24.7273	45.3089
æ̃	210	1	1	1.000	185	84.3434	0.0
ɲː	211	6	2	0.333	153	23.2757	0.0
ɲɟ	212	1	0	0.000	220	100.0000	0.0
ẽː	213	1	0	0.000	221	100.0000	0.0
t̪s̪ʰ	214	1	1	1.000	135	3.3007	0.0
sʷ	215	1	0	0.000	222	100.0000	0.0
n̥	216	5	1	0.200	164	33.5938	0.0
mp	217	3	3	1.000	144	18.6483	11.1495
n̪d̪	218	1	1	1.000	186	5.1948	0.0
tʷ	219	2	0	0.000	223	100.0000	0.0
lʲ	220	6	4	0.667	120	17.5273	42.5496
ʋ	221	13	13	1.000	48	1.9678	6.7783
ɰ	222	4	4	1.000	138	8.4380	12.3866
ɯ̃	223	3	2	0.667	136	14.3434	0.0
ɾ̪	224	0	0	0.000	224	100.0000	0.0
o̞ː	225	0	0	0.000	225	100.0000	0.0
wː	226	7	2	0.286	165	37.2916	0.0
ɛ̃ː	228	2	0	0.000	226	100.0000	0.0
j̰	229	0	0	0.000	227	100.0000	0.0
w̰	230	0	0	0.000	228	100.0000	0.0
ʍ	231	2	1	0.500	187	93.1634	0.0
fː	232	10	2	0.200	166	41.7895	0.0
ɔ̃ː	233	2	0	0.000	229	100.0000	0.0
ɯː	234	3	1	0.333	175	38.3333	0.0
ɢ	235	1	0	0.000	230	100.0000	0.0
ŋː	236	10	2	0.200	154	24.0960	0.0
ɜ	239	3	3	1.000	73	3.1022	2.7441
ɑ̃	240	5	4	0.800	105	32.0623	28.3926
hʲ	241	1	1	1.000	161	13.7690	0.0
ɬ̪	242	0	0	0.000	231	100.0000	0.0
e̞ː	243	0	0	0.000	232	100.0000	0.0
tʃː	244	6	1	0.167	188	49.0756	0.0
ʃː	245	8	1	0.125	189	54.2199	0.0
nʲ	246	8	7	0.875	81	9.1068	32.1814
ʃʷ	247	0	0	0.000	233	100.0000	0.0
ⱱ	248	1	0	0.000	234	100.0000	0.0
ŋ̥	249	1	0	0.000	235	100.0000	0.0
ɕ	250	19	15	0.789	57	9.3863	26.7241
